cost,eq_n,calc,u
0.000792446596230557,simulate,product,0.339886533201871
0.000997631157484441,simulate,product,0.346606710754332
0.00125594321575479,simulate,product,0.351320421474352
0.00158113883008419,simulate,product,0.355278166153032
0.00199053585276749,simulate,product,0.357137082758056
0.00250593616813636,simulate,product,0.359070900982041
0.00315478672240097,simulate,product,0.360175782097996
0.00397164117362141,simulate,product,0.360786806748819
0.005,simulate,product,0.361502783041978
0.00629462705897084,simulate,product,0.362046966335495
0.00792446596230557,simulate,product,0.362601157541468
0.0099763115748444,simulate,product,0.363252541726048
0.0125594321575479,simulate,product,0.363989273063708
0.0158113883008419,simulate,product,0.364899539399249
0.0199053585276749,simulate,product,0.366057812895658
0.0250593616813636,simulate,product,0.367571083286026
0.0315478672240097,simulate,product,0.36956170076973
0.0397164117362141,simulate,product,0.372206235813493
0.05,simulate,product,0.375767849535566
0.0629462705897084,simulate,product,0.380668136583153
0.0792446596230557,simulate,product,0.38760963922788
0.0999999999999997,simulate,product,0.397868252023322
0.000792446596230557,simulate,sum,0.282456646714701
0.000997631157484441,simulate,sum,0.283999645111341
0.00125594321575479,simulate,sum,0.285172982073975
0.00158113883008419,simulate,sum,0.285976323976301
0.00199053585276749,simulate,sum,0.286304515241817
0.00250593616813636,simulate,sum,0.286662318849426
0.00315478672240097,simulate,sum,0.286907872428871
0.00397164117362141,simulate,sum,0.287116168446754
0.005,simulate,sum,0.287347115668974
0.00629462705897084,simulate,sum,0.287667078032829
0.00792446596230557,simulate,sum,0.287990913081206
0.0099763115748444,simulate,sum,0.288404240258051
0.0125594321575479,simulate,sum,0.288911182192494
0.0158113883008419,simulate,sum,0.289534797454709
0.0199053585276749,simulate,sum,0.290365091464195
0.0250593616813636,simulate,sum,0.291426740312238
0.0315478672240097,simulate,sum,0.292830868168889
0.0397164117362141,simulate,sum,0.294689478519372
0.05,simulate,sum,0.297162034983823
0.0629462705897084,simulate,sum,0.300531771138955
0.0792446596230557,simulate,sum,0.305215850016223
0.0999999999999997,simulate,sum,0.311964505585049
5e-06,analytic,simple,0.5
6.29462705897083e-06,analytic,simple,0.5
7.92446596230557e-06,analytic,simple,0.5
9.97631157484439e-06,analytic,simple,0.5
1.25594321575479e-05,analytic,simple,0.5
1.58113883008419e-05,analytic,simple,0.5
1.99053585276748e-05,analytic,simple,0.5
2.50593616813636e-05,analytic,simple,0.5
3.15478672240096e-05,analytic,simple,0.5
3.97164117362141e-05,analytic,simple,0.5
5e-05,analytic,simple,0.5
6.29462705897083e-05,analytic,simple,0.5
7.92446596230557e-05,analytic,simple,0.5
9.97631157484439e-05,analytic,simple,0.5
0.000125594321575479,analytic,simple,0.5
0.000158113883008419,analytic,simple,0.5
0.000199053585276748,analytic,simple,0.5
0.000250593616813636,analytic,simple,0.5
0.000315478672240097,analytic,simple,0.5
0.000397164117362141,analytic,simple,0.5
5e-04,analytic,simple,0.5
0.000629462705897084,analytic,simple,0.5
0.000792446596230557,analytic,simple,0.5
0.000997631157484441,analytic,simple,0.5
0.00125594321575479,analytic,simple,0.5
0.00158113883008419,analytic,simple,0.5
0.00199053585276749,analytic,simple,0.5
0.00250593616813636,analytic,simple,0.5
0.00315478672240097,analytic,simple,0.5
0.00397164117362141,analytic,simple,0.5
0.005,analytic,simple,0.5
0.00629462705897084,analytic,simple,0.5
0.00792446596230557,analytic,simple,0.5
0.0099763115748444,analytic,simple,0.5
0.0125594321575479,analytic,simple,0.5
0.0158113883008419,analytic,simple,0.5
0.0199053585276749,analytic,simple,0.5
0.0250593616813636,analytic,simple,0.5
0.0315478672240097,analytic,simple,0.5
0.0397164117362141,analytic,simple,0.5
0.05,analytic,simple,0.5
0.0629462705897084,analytic,simple,0.5
0.0792446596230557,analytic,simple,0.5
0.0999999999999997,analytic,simple,0.5
